id,sn,placeholder_name,fn,category,sub_category,weight,stack_limit,quality,tags,source,production_lines,spoilage_ticks,price_class,volatility,region_restrict,base_value,water_points,cooking_ingredient,weapon_attack_power,skill_coef,pharmacy_ingredient,info_module_set_id
weapon_dagger_iron_simple,粗铁短刀,铁短刀,简单打磨过的铁制短刀，可靠但并不锋利。,weapon,dagger,1.2,1,white,weapon;melee;starter,forge;buy,forge,0,material,mid,0,1600,,,9,1.05,
weapon_spear_bamboo_iron,竹骨长枪,竹长枪,以粗竹为杆并嵌入小铁尖的长枪，适合新手练手。,weapon,spear,2.5,1,white,weapon;melee;reach,forge;craft,forge;craft,0,material,mid,0,1200,,,14,1.08,
weapon_machete_bronze,青铜砍刀,青铜刀,青铜铸成的宽刃砍刀，砍伐灌木与近身战斗都还算顺手。,weapon,machete,2.0,1,white,weapon;melee,forge,forge,0,material,mid,0,1400,,,11,1.06,
weapon_bow_bamboo_short,竹弦短弓,竹短弓,用韧性较好的竹片弯成弓身，粗制浅色弓弦拉感偏硬。,weapon,bow,1.5,1,white,weapon;ranged,craft,craft,0,material,mid,0,950,,,5,1,
weapon_javelin_stone,石砾投枪,石投枪,在削尖的木杆前端绑上磨圆的石块，用于近距离投掷攻击。,weapon,javelin,1.8,3,white,weapon;ranged;throw,craft;hunting,craft,0,material,mid,0,380,,,6,1,
armor_cloth_rag_shirt,粗布衣,旧布衣,用粗布随手缝制的上衣，只能略微挡风遮体。,armor,cloth,0.8,1,white,armor;body;cloth,weave;craft,weave;craft,0,life_good,low,0,220,,,,,
armor_leather_vest_basic,皮甲背心,旧皮甲,用处理过的兽皮钉合成的背心，在躯干处提供一点额外保护。,armor,leather,1.6,1,white,armor;body;leather,craft;hunting,craft,0,material,mid,0,750,,,,,
armor_bamboo_breastplate,竹片护胸,竹护胸,多片薄竹板用绳索交错系在一起，能稍微卸去正面冲击。,armor,bamboo,2.2,1,white,armor;body;bamboo,craft;logging,craft,0,material,mid,0,480,,,,,
armor_silk_undershirt,细丝里衣,丝里衣,贴身穿着的细丝里衣，几乎不妨碍行动，仅在轻微擦伤时略有缓冲。,armor,silk_under,0.4,1,white,armor;body;silk,weave;husbandry,weave,0,rare,mid,0,2200,,,,,
tool_pickaxe_iron_simple,简易矿镐,旧矿镐,用短铁镐头与粗木柄临时拼成的矿镐，只适合浅层开采。,tool,mining,2.8,1,white,tool;mining;weapon_alt,forge;craft,forge;craft,0,material,mid,0,880,,,,,
tool_hatchet_woodcutter,伐木小斧,木小斧,斧刃偏小但够锋利，适合砍伐较细的树木和枝条。,tool,logging,1.9,1,white,tool;logging;weapon_alt,forge;logging,forge;craft,0,material,mid,0,820,,,,,
