id,sn,placeholder_name,fn,category,sub_category,weight,stack_limit,quality,tags,source,production_lines,spoilage_ticks,price_class,volatility,region_restrict,base_value,edible,usable,use_buff_id,use_action,pharmacy_ingredient,cooking_ingredient,fuel_points,water_points,chem_class,pharm_family,pharm_effect,pharm_toxicity,concentration_cost,info_module_set_id,pharmacy_compound,concentration_capacity,use_charges,adjuvant_strength,satiety_restore,thirst_restore,nutrition_restore,energy_restore,food_buff_duration_ticks
herb_coca,古柯,古柯叶,嚼两片就不困了，山里跑货的都这么干,herb,leaf,0.05,30,white,material;herb;alchemy;stimulant;trade_raw,alchemy,alchemy,3600,rare,high,0,900,,,,,1,,0,0,alkaloid,,,,,
herb_poppy,罂粟,大烟花,花开得好看，果壳割开流白浆，收的人从不问用处,herb,flower,0.08,20,white,material;herb;alchemy;medical;surface_only,alchemy,alchemy,3600,rare,high,0,1000,,,,,1,,0,0,alkaloid,,,,,
herb_ergot,麦角菌,黑麦角,长在黑麦穗上的黑硬角，吃下去手指发麻眼前发花,herb,fungus,0.05,20,white,material;herb;alchemy;dungeon_only,alchemy,alchemy,3600,rare,high,0,1100,,,,,1,,0,0,alkaloid,,,,,
herb_datura,曼陀罗,洋金花,喇叭样的白花，闻久了发昏，村里人见了就拔,herb,flower,0.08,25,white,material;herb;alchemy;medical;surface_only,alchemy,alchemy,3600,material,mid,0,600,,,,,1,,0,0,alkaloid,,,,,
herb_ephedra,麻黄,麻黄草,细秆子没几片叶，熬水喝一身汗，心也跟着跳快,herb,vine,0.05,40,white,material;herb;alchemy;medical;stimulant,alchemy,alchemy,3600,material,mid,0,550,,,,,1,,0,0,alkaloid,,,,,
herb_psilocybe,裸盖菇,小褐伞,雨后草坡上成片长，吃错了能看一晚上东西,herb,fungus,0.04,30,white,material;herb;alchemy;dungeon_only,alchemy,alchemy,3600,rare,high,0,700,,,,,1,,0,0,alkaloid,,,,,
herb_cannabis,大麻,麻叶,叶子边缘带锯齿，抽过的人说时间会变慢,herb,leaf,0.05,30,white,material;herb;alchemy;stimulant;trade_raw,alchemy,alchemy,3600,rare,high,0,750,,,,,1,,0,0,volatile_oil,,,,,
herb_areca,槟榔,槟榔子,硬得能硌牙，嚼完满嘴红，两广那边当零嘴,herb,seed,0.06,25,white,material;herb;alchemy;stimulant,alchemy,alchemy,3600,life_good,mid,0,450,,,,,1,,0,0,alkaloid,,,,,
herb_tobacco,烟草,烟叶,晒干搓碎了塞进烟锅，提神也上头,herb,leaf,0.05,40,white,material;herb;alchemy;stimulant;trade_raw,alchemy,alchemy,3600,life_good,mid,0,400,,,,,1,,0,0,alkaloid,,,,,
herb_liver_herb,护肝草,肝草,苦得发涩，老药师拿它收拾别的药留下的烂摊子,herb,leaf,0.05,30,white,material;herb;alchemy;medical,alchemy,alchemy,3600,life_good,mid,0,1200,,,,,1,,0,0,glycoside,,,,,
herb_peganum,骆驼蓬,骆驼蓬子,荒地上一蓬乱草，种子煮水有股怪味，配药的人心里有数,herb,seed,0.05,30,white,material;herb;alchemy;medical,alchemy,alchemy,3600,life_good,mid,0,950,,,,,1,,0,0,alkaloid,,,,,
