id,sn,placeholder_name,fn,category,sub_category,weight,stack_limit,quality,tags,source,production_lines,spoilage_ticks,price_class,volatility,region_restrict,base_value,satiety_restore,thirst_restore,nutrition_restore,edible,edible_buff_id,food_buff_duration_ticks,cooking_ingredient,pharmacy_ingredient,info_module_set_id
food_stew_meat_simple,肉末杂煮,稠肉糊,用兽肉和野果一起煮成的糊状食物，能填饱肚子并恢复少许体力。,food,stew,0.4,10,white,food;consumable;cook,cook,cook,600,life_good,mid,0,200,,,,1,buff_food_stew_meat_simple,10,,,module.food_basic
food_flatbread_plain,粗面饼,硬面饼,用粗粮烙成的薄饼，耐放但口感偏硬，适合赶路时充饥。,food,bread,0.2,20,white,food;consumable;cook,cook,cook,3600,life_good,low,0,110,,,,1,buff_food_flatbread_plain,10,,
food_herb_tea_bitter,苦根茶,苦茶,用苦根草煮出的茶汤，喝下去能略微退热提神，味道很苦。,food,tea,0.15,15,white,food;consumable;cook;alchemy,cook,cook,600,material,mid,0,260,,,,1,buff_food_herb_tea_bitter,10,,
food_fish_soup_clear,清汤鱼羹,鱼汤,用河鱼和清香叶熬成的清汤，暖胃且能恢复较多饱食与饮水。,food,soup,0.35,8,white,food;consumable;cook,cook;fishing,cook,600,life_good,mid,0,300,,,,1,buff_food_fish_soup_clear,10,,
food_dried_meat_strip,风干肉条,干肉条,晒干后的兽肉条，不易坏，嚼起来费劲但能长时间顶饿。,food,dried,0.1,30,white,food;consumable;cook,cook,cook,3600,life_good,low,0,170,,,,1,buff_food_dried_meat_strip,10,,
food_dish_beef_brisket_stew,清炖牛腩,炖牛腩,牛腩与根茎蔬菜慢炖，汤清肉糯，饱足感强。,food,stew,0.55,8,white,food;consumable;cook;cooked,cook,cook,600,life_good,mid,0,,,,,1,buff_food_dish_beef_brisket_stew,12,,
food_dish_pig_trotter_bean_soup,猪蹄豆汤,蹄花汤,猪蹄与大白芸豆熬到胶质出汤，浓稠暖胃。,food,soup,0.5,8,white,food;consumable;cook;cooked,cook,cook,600,life_good,mid,0,,,,,1,buff_food_dish_pig_trotter_bean_soup,12,,
food_dish_whitefish_soup_deluxe,清汤鱼羹（强化）,葱姜鱼汤,白身鱼配葱姜细熬，比简版更鲜一层。,food,soup,0.38,8,white,food;consumable;cook;cooked,cook;fishing,cook,600,life_good,mid,0,,,,,1,buff_food_dish_whitefish_soup_deluxe,12,,
food_dish_chicken_dice_stirfry,小炒鸡丁,辣炒鸡丁,鸡丁配椒蒜姜猪油爆炒，下饭。,food,stirfry,0.35,10,white,food;consumable;cook;cooked,cook,cook,600,life_good,mid,0,,,,,1,buff_food_dish_chicken_dice_stirfry,10,,
food_dish_squid_stirfry,爆炒鱿鱼,辣鱿鱼,鱿鱼圈急火爆炒，镬气足。,food,stirfry,0.32,10,white,food;consumable;cook;cooked,cook;fishing,cook,600,life_good,mid,0,,,,,1,buff_food_dish_squid_stirfry,10,,
food_dish_beef_onion_stirfry,洋葱牛肉快炒,葱爆牛,牛肩配洋葱黑胡椒猪油快炒。,food,stirfry,0.4,10,white,food;consumable;cook;cooked,cook,cook,600,life_good,mid,0,,,,,1,buff_food_dish_beef_onion_stirfry,10,,
